,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,language_C++,language_Go,language_Java,language_JavaScript,language_Python,language_Swift,language_TypeScript,pr_points1,pr_points2,pr_points3
0,-0.3797365396822893,-0.8243550213132401,-0.5634102015815028,-1.3140891020626058,-0.16016257129113837,-0.16196154611372754,-0.06884297817378925,0,0,1,0,0,0,0,4611.25,7265.900000000001,5497.8
0,-0.5235413043355679,2.509412798362718,-0.7214503675499522,-1.3079561039662673,-0.5533764650786948,-0.5493372928962804,-0.505278731311331,0,0,1,0,0,0,0,986.25,1539.5000000000002,1177.8
0,-0.5235413043355679,-0.9107789531639181,-0.6898423343562623,-0.6394593114653753,-0.5420449047459018,-0.5459271673861137,-0.4952835395384,0,0,1,0,0,0,0,22.25,28.8,23.9
0,-0.4869807709491411,-0.12847185108920597,-0.44751407987130654,-0.6079181783984918,-0.5287664160933818,-0.5285210161118798,-0.49995285169787196,0,0,1,0,0,0,0,371.75,557.5,437.2
0,0.058989860954831795,3.1370052582408365,2.154880653075827,0.20076142773299352,0.519381039090873,0.5516181002679412,0.5125230556712526,0,0,1,0,0,0,0,17422.0,24194.9,18459.7
0,-0.518666566550711,-0.20017293795665964,-0.7214503675499522,-1.3535155183962102,-0.5525233167138707,-0.5569121248805655,-0.5049225085437423,0,0,1,0,0,0,0,1063.0,1539.4,1157.4
0,0.04680301649268954,-0.7274504201524704,-0.28947391390285715,0.2524538402592748,1.9895963032730197,1.9754253122106464,2.291192227562857,0,0,1,0,0,0,0,10910.25,16099.8,12300.9
0,-0.4942928776264265,-0.8899839743740533,-0.6371622790334458,-0.8129355433332346,0.8248300292970284,0.8142195313093522,0.4902172241360637,0,0,1,0,0,0,0,1149.0,1632.7,1213.9
0,-0.4577323442399997,-0.4873100050871122,-0.42644205774217997,1.3520127846742414,-0.5116815731978,-0.5119202349049408,-0.47186713113955214,0,0,1,0,0,0,0,543.75,815.2,630.5
0,-0.5357281487977101,1.7722723902195923,2.945081482918074,-1.1555072941429971,4.855299785118355,4.849304958110532,5.095880756752107,0,0,0,0,0,0,1,12.25,15.7,13.2
0,0.12967355883525686,-0.5053600466767147,0.2162546171961809,2.760850061661704,-0.2696499447769086,-0.26206686880259966,-0.24452715781645004,0,0,1,0,0,0,0,5994.25,8723.1,6694.6
0,-0.5381655176901385,0.2574829552506839,-0.6898423343562623,-1.1607641496541443,-0.5828210214646782,-0.5822703986210604,-0.5359313512243344,0,0,1,0,0,0,0,287.0,451.3,344.5
0,-0.22130756167444002,-0.36395419090563447,-0.06821768154702801,-0.23555757969222824,-0.03293408693684485,-0.03723801947592864,-0.2459415717465818,0,0,1,0,0,0,0,2415.5,3325.1,2474.9
0,-0.10675122373030284,1.695580508442571,0.8062712368117253,0.2515776976740836,0.027333188578299455,0.0287152590079336,0.05824473273360429,0,0,0,0,0,0,1,743.25,1018.2,807.3
0,-0.09943911705301749,1.9859615922642424,0.037142429098604914,-0.030540214757485484,-0.11216750687000354,-0.11284848318113533,-0.10022201314226763,0,0,0,0,0,0,1,2367.25,3347.0,2494.9
0,0.6244594439982323,-0.5868763635329847,0.9748474138447379,1.0830370110205403,0.5223342449691103,0.5236260487398069,0.44840295750528,0,0,0,0,1,0,0,7039.75,9776.4,7690.5
0,1.3776064317586234,-0.6223941873060737,3.4718820361462384,1.8628039118407158,2.6933999530547754,2.684869274462964,2.574658241061632,0,0,0,1,0,0,0,5573.75,7783.6,6013.3
0,1.2386764048902017,3.1677818268498363,1.5648640334602826,-0.3573413990338062,1.8878310162688632,1.8979066293369848,1.8235485660804829,0,0,0,0,1,0,0,23951.75,34601.3,26337.4
0,0.8486973821016497,-0.3630392118388804,3.598314168920998,-0.7253212848141137,2.2492815401660424,2.2435119664130916,1.9665580377470628,0,0,0,0,1,0,0,15858.5,22445.6,16697.4
0,0.051677754277546444,3.147070027975131,0.6271590487141493,-0.478249075790193,0.011254623241228355,0.00738383560391215,-0.06718060525837513,0,0,0,0,1,0,0,18140.25,25200.3,18978.2
0,5.684437264679696,-0.08654917384883863,3.7142102906311942,0.6493464313508922,4.131917474143839,4.121156094655642,4.24224877230689,0,1,0,0,0,0,0,4058.75,4785.7,4217.8
0,0.16135935443682672,-0.5781424724412414,-0.05768167048246472,2.776620628195146,-0.35966803506540906,-0.3576301945353774,-0.31273683304954436,0,0,1,0,0,0,0,31629.75,45101.6,33229.3
0,-0.5040423531961403,-0.6342057352587168,-0.7214503675499522,-1.2623966895363246,-0.3414019098185323,-0.34606479014557795,-0.2772682210139442,0,0,1,0,0,0,0,1325.0,2019.3,1557.3
0,-0.4942928776264265,1.743575319489579,-0.7319863786145154,-0.9907924881270499,-0.49868746733355485,-0.5013778681681913,-0.44253463089467177,0,0,1,0,0,0,0,4135.0,6134.7,4638.7
0,-0.5381655176901385,2.9338799054214375,-0.753058400743642,-0.8681325262002807,-0.6166406976702727,-0.6166618771704011,-0.5690391143296405,0,0,1,0,0,0,0,207.0,324.5,248.5
0,-0.518666566550711,-0.07132724937465762,-0.7003783454208256,-0.9066827999486938,-0.597980811639631,-0.6021797271314804,-0.5710577100126434,0,0,1,0,0,0,0,196.25,263.7,210.0
0,-0.4626070820248566,1.2472407657330868,0.184646584002491,0.4925169086016659,-0.37537471521781324,-0.3502367522058883,-0.31164371808625735,0,0,1,0,0,0,0,101.0,132.5,113.7
0,7.388158120487183,3.0104054273681395,2.0284485203010676,-0.4020246708785578,1.3504350488260197,1.3604055486589872,1.360895515724425,0,0,0,0,0,0,1,250183.0,352237.0,258905.0
0,2.5621677134788508,2.119215816349696,3.492954058275365,2.1887289535318453,0.44251018386030416,0.4558080846046407,0.3789220559251043,0,0,0,0,1,0,0,177017.5,271164.8,201509.8
0,4.048962737860205,0.9918784261935476,4.241010843859359,-1.4192262122855508,1.6002762661249175,1.60086293064289,1.4955232752124463,1,0,0,0,0,0,0,138854.75,204593.2,151107.3
0,1.4970375074876177,-0.6634018854796869,3.271697825919536,1.363402638281727,2.550858549331842,2.542659785102821,1.9227845458945412,0,1,0,0,0,0,0,14859.75,20585.5,15485.6
0,0.11504934548068615,1.9475324714605724,3.8722504565996436,-1.5147257540713925,7.760226216146503,7.757888072766009,8.218665740257876,0,0,0,0,0,0,1,3134.25,4314.6,3329.7
0,0.005367745321405882,-0.16199335689846794,2.1022005977530105,2.9632389988408736,3.531716661690477,3.547493172397493,3.708567695997697,0,0,0,1,0,0,0,11136.75,15840.500000000002,11801.8
0,-0.5040423531961403,0.4099517397379723,-0.6898423343562623,0.30940310829670337,-0.40556304197313053,-0.40537195167771106,-0.391538897048292,0,0,0,1,0,0,0,10768.25,15100.5,11011.2
0,0.49771626159195287,-0.4675963651943204,1.6491521219767888,1.5710484309720434,0.8678593327229047,0.874513452563576,0.8149806320146109,0,1,0,0,0,0,0,6160.25,8848.9,6719.2
0,-0.3894860152520031,1.222286791185249,2.3129208190442765,-1.1923052827210279,0.8864535919562523,0.8883063219142715,0.7746890430962653,0,0,0,0,1,0,0,7066.5,10309.6,7703.0
0,-0.4284839175308583,-0.12339787626447897,-0.6582343011625724,-0.6052897506429182,-0.6165750708729786,-0.6190634761999015,-0.5763137420246144,0,0,0,0,1,0,0,5057.75,7099.0,5215.1
0,0.5001536304843813,-0.8010646450685917,1.1328875798131874,0.5766265967800219,0.016898527808526725,0.015277913380638403,-0.028932058683553082,0,0,0,0,1,0,0,12240.0,17461.600000000002,13358.8
0,1.5530969920134718,-0.11923888050650602,1.006455447038428,-0.08573719762453161,0.6518159160305038,0.6477546173098744,0.5499962938695578,0,1,0,0,0,0,0,320605.25,498181.9,372588.6
0,-0.22861966835172537,-0.3682795464939263,-0.247329869644604,-0.08661334020972282,-0.19317285033010487,-0.1964691140421378,-0.18671080568476828,0,1,0,0,0,0,0,6902.25,9864.8,7385.5
0,0.5903362795042341,-0.8105471553967699,2.1127366088175736,0.0202760551836046,0.34544815066222967,0.34134395684210916,0.36888495559128043,0,0,0,0,1,0,0,3293.5,4548.7,3495.3
0,-0.05800384588173383,0.519000608512023,0.27947068358356064,0.337439671022822,3.6631671366706953,3.666564597391845,4.028214767067249,0,1,0,0,0,0,0,12421.75,18143.7,13554.6
0,3.039892016394827,1.4953664526537531,3.6404582131792513,1.0427344521017448,5.298761930034145,5.28828243388948,5.526121027637664,0,0,0,0,0,0,1,203174.0,289373.2,210140.0
0,-0.18474702828801326,-0.7886708377098323,0.07928647335685808,0.9831567563087427,-0.1734848111418545,-0.1759793386363702,-0.16007093047724985,0,0,0,0,1,0,0,1461.75,2098.2000000000003,1575.5
0,-0.34805074408071945,-0.5680777027069469,0.0582144512277315,0.9375973418787997,-0.2535057526425433,-0.2549201164036333,-0.28416217928080867,0,0,0,0,1,0,0,890.5,1186.4,904.2
0,-0.513791828765854,-0.7996505865108808,-0.6793063232916989,-1.105567166787098,1.010466363243132,0.9983663088583538,1.2366366326772948,0,0,0,0,1,0,0,742.0,1014.8,730.4
0,-0.1920591349652986,-0.6539193751515086,-0.247329869644604,1.136481708717204,0.5776576350880941,0.5793852286241281,0.6430717152323757,0,0,0,0,1,0,0,8077.75,11239.4,8279.1
0,6.064666811898534,0.07839659791236861,3.703674279566631,0.6563555720324219,0.9407050777194311,0.9745171970457623,0.8360501610034624,0,0,1,0,0,0,0,37340.25,51909.0,40061.3
0,-0.4406707619930006,0.0339785232172175,-0.5844822237106293,-0.5430836270943424,-0.30591968808148545,-0.3100988493926072,-0.30331089922874044,0,0,1,0,0,0,0,8836.5,12971.7,9651.9
0,-0.4406707619930006,-0.7473304198755811,-0.42644205774217997,1.0252116003979206,-0.4916872756221769,-0.4915175265334753,-0.4609010577059381,0,0,1,0,0,0,0,1510.75,2334.4,1788.5
0,0.40753361257210025,0.6247222806796955,1.2909277457816368,2.375347324177573,2.5910659004740695,2.5847566961879,2.733736153450524,0,0,0,0,0,0,1,49688.0,78391.90000000001,58826.7
0,-0.09212701037573214,0.7741134083060839,1.2066396572651303,0.22529342011834735,0.6004957605464645,0.6036406532634626,0.5887896517359863,0,0,1,0,0,0,0,35358.5,50820.1,37497.1
0,1.0266253112489265,-0.5707394599920496,3.018833560370017,1.5754291438979995,1.6561684218204502,1.659074498660055,1.0729557633503444,0,1,0,0,0,0,0,8856.25,12565.0,9612.5
0,-0.33342653072614875,-0.8016469044747078,-0.0892897036761546,-0.4502125130640743,-0.5502920056058689,-0.5525732843378428,-0.527909354193439,0,0,1,0,0,0,0,624.25,908.8,703.1
0,-0.22861966835172537,-0.7827650637335106,0.5534069712622063,0.10000503043600456,-0.28395658658703726,-0.28491470972071653,-0.2972865436004015,0,0,1,0,0,0,0,6350.25,8869.3,6480.4
0,-0.5211039354431395,-0.9100303339274829,-0.7003783454208256,-0.7113030034510543,0.12872659039778894,0.12085394805816094,0.189051828420233,0,0,1,0,0,0,0,130.25,173.20000000000002,130.70000000000002
0,0.9778779334003576,2.1501587447890147,0.14250253974423785,-0.6543537354136258,-0.26490293977263046,-0.26551327224372556,-0.26375969488616746,1,0,0,0,0,0,0,75292.25,107387.3,79398.8
0,4.843544996791881,0.20208513175448417,3.345449903371479,1.3239762219481226,1.8631334648871578,1.885427021087013,1.871051919852463,0,0,0,0,0,1,0,4445.0,5284.3,4399.1
0,-0.2871165217700082,2.3625170681911136,-0.03660964835333813,0.4145402185196484,-0.33256416778291764,-0.3365962501652215,-0.3052247235095113,1,0,0,0,0,0,0,758.5,994.6,782.0
0,1.596969632077184,-0.1775480010332868,2.186488686269517,-0.1899981652622854,1.9330697552036429,1.9353962431902432,1.3797962766870742,0,0,0,0,1,0,0,23011.0,32425.9,24353.1
0,0.6585826084922306,0.9503716485289775,1.8282643100743647,1.9679410220636608,5.3537353105675605,5.335726711997949,5.740186464297975,0,0,0,1,0,0,0,42216.0,61322.4,44917.2
0,0.2637288479188216,1.461096327608056,3.3981299586942955,-1.5261156076788782,1.486457524017732,1.5165675302660462,1.3689454517959154,0,1,0,0,0,0,0,59033.25,82476.40000000001,59393.9
0,-0.32367705515643497,1.8320787492192432,-0.04714565941790143,1.283673663029327,0.592467415677478,0.5852042087499871,0.16742351861947777,0,1,0,0,0,0,0,492.5,662.7,512.9
0,0.8023873731455091,1.8375686236197675,1.722904199428732,1.3353660755556083,0.9512928676828901,0.9504649288197994,0.9398681434751327,0,0,0,0,0,1,0,146871.5,218398.9,164587.1
0,-0.13112491265458734,-0.37252172216705876,0.26893467251899733,-0.8725132391262367,0.09473190939940995,0.08900192467596564,0.08843635847678694,0,0,0,0,1,0,0,9906.5,15071.0,11361.6
0,-0.5162291976582826,2.56140024533738,-0.6793063232916989,-1.0678930356238763,-0.4968717926084162,-0.5013270790648484,-0.44639371087688307,0,0,0,0,1,0,0,229.75,340.0,269.3
