,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,MagicMirrorOrg/MagicMirror,JavaScript,82,23539,306,3602,8259.399000000001,7912.4,7232.3,71793.75,99632.90000000001,72067.4
0,Daltron/NotificationBanner,Swift,83,25700,60,2220,1678.3200000000002,1540.7,1361.6499999999999,1545.25,2169.3,1644.8
0,Finb/Bark,Swift,14,8673,10,2114,915.417,852.8000000000001,619.1,290.75,436.6,337.5
0,KelvinJin/AnimatedCollectionViewLayout,Swift,7,2159,5,587,311.68800000000005,287.09999999999997,277.65,12.0,14.1,12.1
0,emilybache/GildedRose-Refactoring-Kata,C++,116,3334,151,2836,7575.084000000001,6895.8,6139.499999999999,17202.75,25532.1,18911.8
0,pezy/LeetCode,C++,3,392,2,845,791.2080000000001,739.8,844.8999999999999,16.25,23.5,18.6
0,duemunk/Async,Swift,41,573,23,2357,3573.7560000000003,3246.7,3255.6499999999996,1959.75,2744.2,2051.9
0,cilium/ebpf,Go,629,45384,112,1399,8972.685,8246.8,8326.5,28548.25,41548.6,31572.1
0,mamaral/Neon,Swift,16,14088,11,777,1771.227,1602.1999999999998,1794.8,2929.75,4035.3,2913.8
0,badoo/Chatto,Swift,238,4614,54,2834,3632.0310000000004,3374.5,2882.0499999999997,28698.0,41171.4,30595.0
0,optonaut/ActiveLabel.swift,Swift,51,1440,27,1899,1743.255,1593.8,1650.8,816.75,1133.9,859.2
0,SoySauceLab/CollectionKit,Swift,46,5175,9,619,2175.156,1975.3,1608.55,3328.5,4718.3,3563.7000000000003
0,onivim/oni,TypeScript,1274,40328,81,1027,5982.012000000001,5508.599999999999,5300.3,402322.5,555613.6,399524.6
0,barbajs/barba,TypeScript,39,30237,18,2605,2059.938,1948.8,1755.0,234.25,317.8,244.5
0,formkit/auto-animate,TypeScript,29,10526,38,545,3364.632,3057.0,2799.2999999999997,3788.25,5705.500000000001,4246.599999999999
0,gopasspw/gopass,Go,1469,16441,193,2577,19021.959000000003,17301.7,16104.05,428568.5,591999.9,427174.5
0,ouqiang/gocron,Go,7,8876,8,1382,386.613,378.3,391.75,1658.0,2633.2,1988.0
0,michenriksen/aquatone,Go,8,587,7,1100,1636.0290000000002,1481.6999999999998,1627.4499999999998,53.5,78.2,60.0
0,howdyai/botkit,TypeScript,462,12073,234,1621,10811.178,9944.5,8568.35,74079.5,108417.90000000001,79446.1
0,sindresorhus/ky,TypeScript,104,987,88,866,31528.440000000002,28434.199999999997,30595.3,1703.75,2409.8,1849.1
0,goadesign/goa,Go,694,35894,114,1616,5152.509,4850.4,4341.7,28481.75,40719.3,30554.6
0,fogleman/nes,Go,13,176,11,3110,2537.127,2305.9,2418.35,74.5,105.80000000000001,85.19999999999999
0,xinliangnote/go-gin-api,Go,7,4319,3,1072,501.165,466.59999999999997,521.8,71.5,102.70000000000002,81.7
0,buger/jsonparser,Go,95,458,45,2220,6649.677000000001,6018.099999999999,6317.049999999999,2433.0,3557.3,2658.9
0,snabbdom/snabbdom,TypeScript,498,5053,104,3219,62634.303,56522.299999999996,54285.15,44697.0,63567.100000000006,46357.1
0,Sairyss/domain-driven-hexagon,TypeScript,21,8406,20,1139,783.8820000000001,756.5,715.55,151.75,206.1,165.0
0,go-telegram-bot-api/telegram-bot-api,Go,119,5399,83,2673,4606.722000000001,4193.2,4030.3999999999996,4468.25,6503.0,4814.9
0,expr-lang/expr,Go,129,11001,57,2059,4218.777,3880.6,3657.3999999999996,12433.0,17965.8,13278.2
0,h2non/imaginary,Go,100,18574,50,3156,6773.886,6161.0,5114.9,5867.0,7502.900000000001,5391.700000000001
0,shazow/ssh-chat,Go,122,593,49,3299,4711.617,4301.1,4039.5499999999997,3221.25,4721.1,3575.4
0,ViRb3/wgcf,Go,111,474,5,1367,650.0160000000001,615.0,667.9,619.75,845.7,662.6
0,devicekit/DeviceKit,Swift,126,610,43,3271,3740.922,3397.7999999999997,3090.7,4546.25,6416.9,4774.8
0,qor/qor,Go,121,16155,25,3552,16490.826,15083.699999999999,9667.15,13098.25,18229.4,13414.1
0,scinfu/SwiftSoup,Swift,54,1926,42,2644,1966.0320000000002,1818.0,1620.8,1146.5,1580.4,1211.8
0,callstack/linaria,TypeScript,611,32258,137,2452,14128.191,12825.5,11560.949999999999,97292.75,136121.7,99633.4
0,RobertGummesson/BuildTimeAnalyzer-for-Xcode,Swift,38,747,10,2693,265.06800000000004,241.6,236.79999999999998,1482.0,2093.2000000000003,1562.8
0,microsoft/TypeScript-React-Starter,TypeScript,15,161,15,772,3803.8590000000004,3430.6,3701.6,91.0,123.9,94.30000000000001
0,eggjs/egg,JavaScript,1069,12016,204,2805,37975.32,34321.7,32485.35,55714.75,76294.6,56040.299999999996
0,ankurp/Dollar,Swift,135,5587,43,3557,21295.683,19248.399999999998,14057.699999999999,5548.25,7643.9,5618.6
0,jacomyal/sigma.js,TypeScript,96,22109,59,2381,5318.01,4952.9,4663.75,6409.5,9947.4,7502.4
0,julianshapiro/velocity,JavaScript,52,8139,44,2137,6569.7570000000005,6007.3,6170.049999999999,19270.25,28533.8,21005.7
0,kusti8/proton-native,TypeScript,64,7581,28,845,2143.188,1936.6999999999998,1743.85,19300.5,27720.3,20222.9
0,DeclarativeHub/Bond,Swift,156,2311,71,2101,4145.517,3847.6,3769.8999999999996,9639.5,13657.1,10154.9
0,roberthein/BouncyLayout,Swift,4,45686,4,1178,348.31800000000004,319.4,329.1,434.75,670.0,512.5
0,PaoloCuscela/Cards,Swift,11,10354,9,626,175.824,164.3,166.45,1322.5,1886.2,1401.6
0,rebuy-de/aws-nuke,Go,326,1156,136,1531,2941.389,2743.0,2295.2,8833.25,13344.6,10217.699999999999
0,nfl/react-helmet,JavaScript,165,2148,58,1839,32462.505000000005,29276.8,33245.3,14730.25,21614.100000000002,15892.4
0,clauderic/dnd-kit,TypeScript,197,6897,37,1075,2864.4660000000003,2624.7,2771.25,7587.75,10615.9,8232.8
0,ArtSabintsev/Siren,Swift,104,6011,53,3055,2674.989,2500.6,2426.6,22905.25,34626.200000000004,25824.9
0,c-bata/go-prompt,Go,69,400,20,1296,8227.098,7449.099999999999,7600.05,1814.5,2596.7000000000003,1960.1
0,codesenberg/bombardier,Go,6,915,6,2523,172.161,166.0,163.5,17758.5,21291.7,14292.300000000001
0,ROCm/HIP,C++,1285,18971,159,1788,5837.490000000001,5843.3,6262.15,112034.75,158756.1,115554.6
0,microsoft/SEAL,C++,4,5137,37,120,4748.9130000000005,4372.9,4254.45,5.0,5.1,5.1
0,Toxblh/MTMR,Swift,115,9874,35,2109,2730.6000000000004,2523.3999999999996,2610.2999999999997,5114.25,7537.8,5772.099999999999
0,thedmd/imgui-node-editor,C++,6,13576,7,998,1693.6380000000001,1570.5,1740.5499999999997,1677.0,2463.5,1811.1000000000001
0,jamiebuilds/react-loadable,JavaScript,105,325,85,1089,12444.876,11232.199999999999,11735.3,2362.0,3304.2000000000003,2427.0
0,cbpowell/MarqueeLabel,Swift,49,15746,42,4742,3348.648,3093.7999999999997,2815.2999999999997,761.5,1109.0,842.4
0,devxoul/Then,Swift,26,92,17,2315,2953.71,2675.7,2743.35,347.5,500.20000000000005,385.59999999999997
0,calimarkus/JDStatusBarNotification,Swift,21,2896,21,2234,1450.2150000000001,1378.5,1407.85,178.25,264.3,205.0
0,bitly/oauth2_proxy,Go,149,505,66,2228,6075.585,5505.2,5092.9,2952.5,4256.3,3284.1
0,styleguidist/react-styleguidist,TypeScript,608,26368,227,3056,34633.332,31394.7,25507.85,109559.75,156389.0,113927.1
0,uber-go/fx,Go,703,3240,61,2674,2704.9590000000003,2507.6,2303.8999999999996,29374.0,42437.8,31975.0
0,nsf/gocode,Go,133,1479,66,3060,14592.060000000001,13222.4,13115.4,890.0,1236.4,990.4
0,disintegration/imaging,Go,17,3677,17,2906,991.6740000000001,913.0,751.4999999999999,415.5,626.2,476.4
0,j3ssie/osmedeus,Go,17,29204,4,808,488.178,442.4,482.0,41.5,51.800000000000004,44.800000000000004
0,x-motemen/gore,Go,106,740,19,2359,4521.1410000000005,4119.0,3698.8,1680.25,2378.0,1818.3
0,inversify/InversifyJS,TypeScript,506,2369,108,3173,7247.745000000001,6674.1,6317.65,40688.0,58133.8,42873.4
0,jinzhu/copier,Go,45,115,30,3569,4317.678,3905.2999999999997,3897.9499999999994,1344.25,1990.1000000000001,1488.3999999999999
0,k3d-io/k3d,Go,103,41762,121,469,12420.567000000001,11316.9,9169.25,93198.25,147322.0,110815.89999999998
0,emicklei/go-restful,Go,153,6292,89,3525,9503.154,8640.1,8000.15,1786.0,2593.0,2019.8
0,asticode/go-astilectron,Go,47,682,39,2369,3798.1980000000003,3443.0,2378.2999999999997,502.0,693.0,537.0
0,facebookarchive/grace,Go,6,84,6,2222,612.3870000000001,560.5,579.8499999999999,75.75,105.9,79.6
0,alibaba/formily,TypeScript,497,28724,198,1202,8390.268,7866.2,7442.499999999999,67183.75,95255.8,69992.7
0,vercel/micro,TypeScript,220,1049,59,1596,26803.170000000002,24189.5,26470.449999999997,9203.0,13934.300000000001,10424.7
0,socketio/socket.io-client,TypeScript,268,9477,119,4309,41812.146,37838.4,41485.0,20485.25,29102.4,21237.9
0,gvergnaud/ts-pattern,TypeScript,19,2620,16,670,3565.4310000000005,3300.2,3001.4,7112.5,10637.2,7865.4
0,Alamofire/AlamofireImage,Swift,82,13943,47,2933,3486.8430000000003,3193.7,3314.45,19151.25,28512.8,21571.5
0,dvajs/dva,JavaScript,201,2377,86,2481,24990.651,22587.0,24756.8,20622.5,29911.5,22033.3
0,roberthein/TinyConstraints,Swift,35,37466,24,1829,1454.8770000000002,1327.1,1336.35,713.25,967.8000000000001,717.3
0,nodejs/nan,C++,265,2142,95,2936,26846.127,24309.0,24555.6,6558.25,9583.6,7331.1
0,JohnEstropia/CoreStore,Swift,7,15032,28,577,1810.854,1747.1,1798.4499999999998,123.25,190.5,146.0
0,DaveWoodCom/XCGLogger,Swift,18,1809,31,1472,3484.512,3178.7,2408.6499999999996,279.0,394.6,295.40000000000003
0,yoavlt/LiquidFloatingActionButton,Swift,11,1797,11,2455,527.139,483.09999999999997,397.15,2110.5,2997.2000000000003,2211.7999999999997
0,zixun/GodEye,Swift,1,23615,1,25,268.731,249.6,288.9,13824.5,21846.500000000004,16663.5
0,louisdh/panelkit,Swift,6,11753,4,317,638.6940000000001,610.8,663.2,181.25,271.90000000000003,206.6
0,Yalantis/StarWars.iOS,Swift,4,12056,7,1632,240.75900000000004,219.39999999999998,236.79999999999998,120.5,163.5,125.7
0,facebook/mcrouter,C++,1,32935,160,2113,9297.36,8567.5,8553.449999999999,17.5,20.299999999999997,14.900000000000002
0,gontovnik/DGElasticPullToRefresh,Swift,9,3810,7,339,619.7130000000001,560.0,556.0999999999999,162.5,225.20000000000002,169.4
0,lewissbaker/cppcoro,C++,44,852,21,1992,1436.5620000000001,1333.1999999999998,1377.3999999999999,3316.25,5072.0,3821.8999999999996
0,yyzybb537/libgo,C++,21,7376,15,2072,513.153,484.2,451.0,336.0,476.1,361.7
0,pkluz/PKHUD,Swift,54,25595,33,2283,3595.7340000000004,3251.2999999999997,3471.75,681.5,949.2,733.8000000000001
0,hilen/TSWeChat,Swift,4,29643,5,1225,182.817,165.79999999999998,161.2,29699.0,46999.3,35776.899999999994
0,okmr-d/DOFavoriteButton,Swift,10,69,10,601,990.6750000000001,896.1999999999999,881.1999999999999,566.25,816.5,615.2
0,SvenTiigi/WhatsNewKit,Swift,2,8372,14,551,673.659,671.1,698.75,4.0,4.8,4.0
0,slackhq/PanModal,Swift,27,33601,15,420,624.7080000000001,567.4,562.6999999999999,153.5,199.3,167.5
0,logaretm/vee-validate,TypeScript,525,23013,327,1572,20692.620000000003,19106.7,19547.45,30755.75,42536.7,31040.0
0,JadenGeller/Helium,Swift,35,12846,28,735,1215.45,1117.2,1049.8,723.75,1033.9,844.0
0,commitizen/cz-cli,JavaScript,288,2311,85,3163,12176.811,11007.1,8793.15,62412.75,88389.4,63678.7
0,kasketis/netfox,Swift,57,8661,41,2209,1273.392,1179.5,1134.85,1189.5,1667.6000000000001,1256.6
0,fastred/Optimizing-Swift-Build-Times,Swift,12,1333,7,465,742.2570000000001,674.1,669.4499999999999,56.25,71.0,54.9
0,chimurai/http-proxy-middleware,TypeScript,206,3477,31,3225,2205.4590000000003,2028.1,1863.85,28394.0,40074.200000000004,29125.8
0,blinker-iot/blinker-library,C++,568,4768,4,1875,748.9169999999999,848.2,1005.0,76671.0,111662.6,82713.8
0,pointfreeco/swift-snapshot-testing,Swift,171,30899,75,2021,9219.771,8337.4,8705.6,9576.5,13522.4,10211.0
0,k4zmu2a/SpaceCadetPinball,C++,47,5383,30,913,2201.463,2004.8999999999999,1761.4499999999998,2604.25,3995.1000000000004,3014.6
0,scalessec/Toast-Swift,Swift,22,639,15,2988,655.344,613.3,567.35,158.25,227.3,177.6
0,thoughtbot/Argo,Swift,152,1264,43,2068,5159.169,4673.3,4847.049999999999,22078.5,33638.3,25111.7
0,mjmlio/mjml,JavaScript,372,10545,151,2952,9047.277,8355.8,7330.799999999999,24938.5,34640.200000000004,25841.2
0,CVCalendar/CVCalendar,Swift,84,4731,48,2081,1614.717,1478.8999999999999,1305.05,6619.75,9149.4,6711.1
0,gcanti/fp-ts,TypeScript,718,23119,124,2559,9922.068000000001,9223.3,9033.15,149788.5,214361.5,158405.7
0,vuejs/vitepress,TypeScript,142,7326,294,521,81741.84300000001,73848.1,82143.25,6142.0,8823.800000000001,6537.4
0,typestack/class-validator,TypeScript,134,5920,106,2624,19521.459,17676.3,11491.55,32481.0,46044.6,33441.0
0,reduxjs/redux-toolkit,TypeScript,692,28246,321,2180,27911.727000000003,25466.8,25349.3,135585.5,198036.80000000002,145627.4
0,cyclejs/cyclejs,TypeScript,204,13404,114,3309,19676.637000000002,17939.0,18456.199999999997,43037.0,61079.4,44601.8
0,gregberge/svgr,TypeScript,147,16705,125,1242,11468.52,10396.199999999999,9851.1,42379.0,60954.3,44545.9
0,Rightpoint/BonMot,Swift,147,4846,30,2944,2150.514,2032.5,2003.1499999999999,16644.25,23368.7,17366.6
0,cruisediary/Pastel,Swift,19,16734,11,2004,379.95300000000003,351.59999999999997,343.09999999999997,501.5,710.7,550.9
0,johnste/finicky,Swift,51,2810,22,3127,2482.8480000000004,2264.3,1555.05,2989.75,4454.7,3340.0
0,Yalantis/Persei,Swift,5,2370,6,1874,358.641,327.8,361.0,330.0,453.1,340.3
0,shu223/iOS-9-Sampler,Swift,5,11781,3,592,1272.393,1155.5,1314.75,642.0,880.4,658.4
0,infernojs/inferno,JavaScript,236,43345,182,3289,20761.551,19051.1,18754.149999999998,43572.5,62880.700000000004,45874.5
0,willowtreeapps/spruce-ios,Swift,22,15668,7,1427,118.215,124.8,133.5,10572.5,16477.600000000002,12397.0
0,Ramotion/circle-menu,Swift,11,6458,17,1534,2363.3010000000004,2149.5,2374.95,1317.5,2059.3,1557.5
0,kyleduo/TinyPNG4Mac,Swift,7,35785,7,1979,746.253,679.6999999999999,684.8499999999999,123.5,164.6,127.2
0,XcodesOrg/xcodes,Swift,49,1018,28,681,2142.522,1970.3999999999999,2015.2,2552.75,3830.2000000000003,2904.7
