pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,language_C++,language_Go,language_Java,language_JavaScript,language_Python,language_Swift,language_TypeScript,pr_points1,pr_points2,pr_points3
-0.2996889630357334,-0.12643200294724097,-0.6051905428304247,-1.3901390879982263,-0.7211736602500494,-0.7109976154257974,-0.6844084541687648,0,0,1,0,0,0,0,2.271,2.389,2.377
-0.27638549318917116,-0.2341595527101821,-0.6497190955143984,-1.4664766193295262,-0.3223258569940173,-0.3451671042072918,-0.5977299391342709,0,0,1,0,0,0,0,3.39,3.318,2.749
-0.2546891591940959,-0.12406136656421159,-0.3202078056529925,-0.1554239010001106,0.06094195394732593,0.036422259802164875,-0.04102685745439551,0,0,1,0,0,0,0,4.006,3.668,3.544
-0.3237960008080392,-0.23904663842837168,-0.7565876219559355,-0.7829894202004469,-0.6529679161168563,-0.6685987972025246,-0.8118465090111459,0,0,1,0,0,0,0,3.281,2.569,3.257
-0.3117424819218863,-0.19480887020934093,-0.5517562796096561,-0.7510341745268796,-0.7530260889823019,-0.7616510708252828,-0.8314523636022815,0,0,1,0,0,0,0,4.867,4.833,5.186
-0.3237960008080392,-0.06194034531288366,-0.45379346370491386,-0.4660999006042375,-0.735368764358988,-0.7402640563232779,-0.8763394517451444,0,0,1,0,0,0,0,1.361,1.285,1.307
-0.3278138404367569,-0.08732590991449014,2.315882513238255,-1.3058127452485349,0.09764149139970384,0.07281770553364697,-0.198389637725352,0,0,0,0,0,0,1,1.722,1.806,1.517
-0.13174326655533636,-0.010153229088372375,1.6479542229786481,0.06826281871486077,1.8675286183483462,1.8246768407943683,1.7601320472207151,0,0,1,0,0,0,0,5.298,5.239,6.151
-0.3221888649565522,-0.19886341100729996,-0.7833047535663198,-1.5064206764214854,-0.7724145238628035,-0.7856645607924463,-0.8882061532082002,0,0,1,0,0,0,0,1.823,1.737,1.761
-0.22415357801584193,-0.2081248852894128,-0.23115070028504497,-0.37378474643615406,-0.49647554886709383,-0.4997539458709065,-0.22057521002584735,0,0,1,0,0,0,0,3.114,3.516,2.799
-0.3141531856991169,-0.23263557217823463,-0.738776200882346,-0.006299421190129684,-0.9645677624106314,-0.9653905247654353,-0.9625020232377665,0,0,1,0,0,0,0,1.833,1.862,1.921
-0.18638588550589616,-0.0916485583986251,0.5169289848057145,0.11974627007783037,0.39089156896729005,0.37974012417645503,0.10137356010227314,0,0,0,0,0,0,1,9.954,11.16,8.734
-0.302099666812964,-0.2151003887736045,-0.5339448585360667,1.2346292858000687,-0.49786043707284394,-0.5140119555389099,-0.7050461958436443,0,0,1,0,0,0,0,4.336,3.703,4.968
-0.317367457402091,-0.16436218507571138,-0.7565876219559355,0.17833088714603715,-0.9804939767767578,-0.9882783823903879,-1.0135804338830934,0,0,0,1,0,0,0,2.543,2.192,2.835
-0.3237960008080392,-0.045642220179556534,-0.7833047535663198,-1.4602630993374435,-1.019270846537761,-1.0261746712448176,-1.1064502714200513,0,0,1,0,0,0,0,1.753,1.67,1.502
-0.2145107629069196,-0.22452178693869948,-0.3825477794105558,1.0162684403640252,-0.5823386176236008,-0.5924310087129279,-0.7272317681441399,0,0,0,0,1,0,0,8.415,7.146,7.788
-0.1839751817286656,-0.07524224946210417,-0.14209359491709742,-0.1660756495579664,0.7222260721930042,0.7406928952453805,0.8345293331023685,0,0,0,0,0,0,1,4.816,4.815,4.302
-0.2996889630357334,-0.23744269595493314,-0.6230019639040142,1.074853057432232,-0.3780676072754593,-0.3991974566334096,-0.6611909947845254,0,0,0,0,1,0,0,3.563,3.6,3.556
-0.135761106184054,-0.22867980789623518,-0.4181706215577348,0.12063391579098502,-0.47812578014090484,-0.47086271575416294,-0.5414920930702242,0,0,1,0,0,0,0,6.696,6.785,5.885
-0.3141531856991169,-0.23787072752409122,-0.7120590692719617,-0.9587432714050673,-1.019963290640636,-1.014543137041973,-1.0404094980604366,0,0,1,0,0,0,0,2.665,2.707,2.827
-0.11004693256026114,-0.23433829116763275,-0.5250391479992719,0.6390190122732996,-0.8354269372244336,-0.8385692808763533,-0.8696321857008087,0,0,0,0,1,0,0,2.356,2.332,2.048
-0.2779926290406582,-0.10379336621803364,2.387128197532613,-0.5069316034093513,4.310817635342979,4.229402734537345,3.2651393588613056,0,0,0,0,1,0,0,6.589,6.519,6.875
