pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,language_C++,language_Go,language_Java,language_JavaScript,language_Python,language_Swift,language_TypeScript,pr_points1,pr_points2,pr_points3
-0.47576077140983486,-0.019595287196258887,-0.5232989945743237,-1.357631455077576,-0.7301221451758323,-0.7135744820960426,-0.6528895233312032,0,0,1,0,0,0,0,2.271,2.389,2.377
-0.3686033388027169,-0.3788676309052153,-0.5944504529441241,-1.4348615557032407,-0.15292467384896816,-0.18230919077720772,-0.528100656337596,0,0,1,0,0,0,0,3.39,3.318,2.749
-0.268836073961607,-0.011689193617718344,-0.06792966100760098,-0.10847947867874709,0.40172602125419016,0.37184137462920774,0.273370697746346,0,0,1,0,0,0,0,4.006,3.668,3.544
-0.5866132878999569,-0.39516610556415105,-0.7652139530316452,-0.7433827477757796,-0.6314173692631654,-0.6520021970508855,-0.8363588694468043,0,0,1,0,0,0,0,3.281,2.569,3.257
-0.531187029654896,-0.24763275217888558,-0.43791724453056324,-0.711053868444106,-0.7762177765665194,-0.7871342916632659,-0.8645849226953582,0,0,1,0,0,0,0,4.867,4.833,5.186
-0.5866132878999569,0.19548496886598193,-0.2813840361170023,-0.42278802773668395,-0.7506647635129863,-0.7560757054015494,-0.9292077288170477,0,0,1,0,0,0,0,1.361,1.285,1.307
-0.6050887073149773,0.11082388346244362,4.144236674484585,-1.2723191346189933,0.4548362052478078,0.42469546002195335,0.04681948088295176,0,0,0,0,0,0,1,1.722,1.806,1.517
0.2965117601380155,0.36819546549243304,3.076964798937578,0.11782267664296746,3.016149984260767,2.968775096091328,2.866453642238506,0,0,1,0,0,0,0,5.298,5.239,6.151
-0.5792231201339488,-0.26115468206916725,-0.8079048280535255,-1.4752726548678325,-0.8042759869782419,-0.8220070902729125,-0.9462919189411726,0,0,1,0,0,0,0,1.823,1.737,1.761
-0.12842288640745242,-0.2920417817837433,0.07437325573199988,-0.3293934874451827,-0.40494752808283335,-0.40680283182680765,0.014879473259588214,0,0,1,0,0,0,0,3.114,3.516,2.799
-0.5422722813039081,-0.37378514217615355,-0.7367533696837251,0.04238862486906261,-1.082352893737278,-1.0830081923669863,-1.053253804935693,0,0,1,0,0,0,0,1.833,1.862,1.921
0.045246056093738836,0.0964078120364937,1.2697177563446471,0.169908093343997,0.8792166377251117,0.8704134172514992,0.4783809792358435,0,0,0,0,0,0,1,9.954,11.16,8.734
-0.4868460230588471,-0.3153051484047267,-0.40945666118264307,1.2978267722490504,-0.40695168596938497,-0.42750855600128546,-0.6826011583296809,0,0,1,0,0,0,0,4.336,3.703,4.968
-0.5570526168359244,-0.14609278445290755,-0.7652139530316452,0.2291777054520651,-1.1054007094326215,-1.1162463285418056,-1.126790101556926,0,0,0,1,0,0,0,2.543,2.192,2.835
-0.5866132878999569,0.24983936221844816,-0.8079048280535255,-1.428575384722082,-1.1615171302560667,-1.1712799638476543,-1.2604924590500766,0,0,1,0,0,0,0,1.753,1.67,1.502
-0.08408187981140358,-0.346725595701982,-0.1675417027253216,1.0769127634826148,-0.5292053170490334,-0.5413900389609124,-0.7145411659530448,0,0,0,0,1,0,0,8.415,7.146,7.788
0.05633130774275104,0.1511229993419489,0.21667617247160073,-0.11925577178930492,1.3587114120825847,1.3945951713527496,1.5338868125567717,0,0,0,0,0,0,1,4.816,4.815,4.302
-0.47576077140983486,-0.38981694304374964,-0.551759577922244,1.136182375590683,-0.23359202878267052,-0.26077298764891266,-0.6194639339579154,0,0,0,0,1,0,0,3.563,3.6,3.556
0.27803634072299516,-0.3605926328516444,-0.22446286942116192,0.1708061177698768,-0.3783924360860245,-0.36484649599957664,-0.44713645096674365,0,0,1,0,0,0,0,6.696,6.785,5.885
