Unnamed: 0,id,name,language,pull_requests,size,contributors,age,contributor_xp,pr_points
0,26732453,louthy/language-ext,C#,195.0,19861.0,82.0,2038,2.888,5.078
0,68254498,cleverhans-lab/cleverhans,Jupyter Notebook,616.0,9369.0,109.0,2329,3.612,14.492
0,14075080,roots/bedrock,PHP,306.0,847.0,77.0,3743,5.062,27.089
0,31810895,moroshko/react-autosuggest,JavaScript,63.0,8592.0,47.0,2134,3.096,6.247
0,62095504,sdispater/pendulum,Python,171.0,2727.0,90.0,2727,3.013,9.883
0,46386922,angular/flex-layout,TypeScript,353.0,7277.0,56.0,2718,3.81,12.934
0,142967350,reach/reach-ui,TypeScript,193.0,30923.0,141.0,681,4.35,7.108
0,38603315,hiloteam/Hilo,JavaScript,5.0,36305.0,19.0,805,1.487,1.72
0,29703101,raulriera/TextFieldEffects,Swift,25.0,663.0,20.0,2920,2.227,4.45
0,222258954,dstotijn/hetty,Go,21.0,2101.0,8.0,523,1.871,2.865
0,5660085,thephpleague/omnipay,PHP,236.0,1704.0,128.0,4050,3.446,3.181
0,23551107,ghosh/uiGradients,Vue,376.0,5833.0,230.0,1772,5.692,18.673
0,147545986,plantuml-stdlib/C4-PlantUML,PlantUML,99.0,7579.0,29.0,1977,3.262,15.605
0,44409210,RichardLitt/standard-readme,Shell,34.0,103.0,22.0,2610,2.125,4.25
0,143253020,microsoft/FASTER,C#,265.0,9978.0,60.0,1307,3.946,25.173
0,281769216,ixartz/Next-js-Boilerplate,TypeScript,24.0,8545.0,24.0,850,3.256,4.298
0,47025785,SwiftyBeaver/SwiftyBeaver,Swift,156.0,2446.0,74.0,2851,4.259,14.815
0,30329296,matthewmueller/x-ray,JavaScript,58.0,1340.0,37.0,2015,3.038,3.365
0,239760033,sivan/heti,SCSS,53.0,1302.0,11.0,1318,1.772,8.869
0,100464123,microsoft/MMdnn,Python,284.0,37216.0,66.0,1863,2.748,30.088
0,10368942,Grsmto/simplebar,TypeScript,85.0,19997.0,54.0,3624,3.389,3.389
0,72314479,vuejs/vetur,TypeScript,955.0,13255.0,139.0,2302,2.784,21.543
0,103826539,openatx/uiautomator2,Python,39.0,1725.0,29.0,2005,1.996,4.342
0,46879057,langren1353/GM_script,JavaScript,13.0,2947.0,10.0,2945,1.704,3.437
