Unnamed: 0,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,feathericons/feather,JavaScript,102,16140,43,3219,2.79,2.62,2.643,3.709,3.621,3.483
0,developit/mitt,TypeScript,39,217,32,1619,4.462,4.131,3.117,3.923,3.035,4.066
0,getumbrel/llama-gpt,TypeScript,12,1788,92,78,2.418,2.37,2.351,2.926,2.834,2.998
0,vercel/pkg,JavaScript,112,41320,67,1763,2.396,2.279,2.141,3.967,3.967,3.282
0,shuding/nextra,TypeScript,39,25388,136,714,10.586,9.803,6.876,2.119,2.004,2.003
0,szimek/signature_pad,TypeScript,94,2669,46,3996,5.146,4.799,4.136,5.613,4.467,5.193
0,vercel/commerce,TypeScript,83,10814,116,232,7.888,7.358,5.604,4.428,3.954,4.673
0,helmetjs/helmet,TypeScript,43,2247,45,3164,3.355,3.125,3.0,1.555,1.473,1.563
0,Delgan/loguru,Python,123,2066,50,2390,2.358,2.232,1.931,3.638,3.404,3.1
0,cool-RR/PySnooper,Python,71,495,25,1549,2.779,2.666,2.539,6.208,4.58,7.33
0,keplergl/kepler.gl,TypeScript,1123,25303,104,2188,6.343,5.954,4.38,11.071,7.821,9.362
0,cuixiaorui/mini-vue,TypeScript,21,1572,13,828,2.134,2.026,1.546,3.295,4.052,3.334
0,Ciphey/Ciphey,Python,317,17141,40,1548,2.163,2.131,2.158,6.116,4.861,7.066
0,twintproject/twint,Python,113,4578,59,1285,4.358,4.12,3.679,8.575,7.418,8.788
0,ds300/patch-package,TypeScript,77,2468,49,2255,3.658,3.419,2.551,2.62,2.293,2.403
0,openai/baselines,Python,171,6620,102,982,3.64,3.471,3.634,4.74,3.936,4.68
0,getgridea/gridea,TypeScript,39,12125,17,1780,2.826,2.652,1.968,2.723,2.522,2.497
0,wistbean/learn_python3_spider,Python,7,22652,8,1067,1.47,1.426,1.244,1.293,1.426,1.309
0,microsoft/Bringing-Old-Photos-Back-to-Life,Python,13,41892,12,759,2.007,1.966,1.705,2.234,2.485,2.143
0,rough-stuff/wired-elements,TypeScript,44,1917,13,1527,1.998,1.919,1.97,4.474,4.585,4.314
0,sindresorhus/pageres,TypeScript,49,8964,31,2516,2.106,2.036,1.669,6.266,5.388,7.432
0,retejs/rete,TypeScript,17,1797,19,2224,1.445,1.405,1.47,3.472,3.461,3.206
0,danny-avila/LibreChat,TypeScript,35,25967,84,36,2.614,2.504,2.526,2.536,2.159,2.571
0,projectstorm/react-diagrams,TypeScript,163,13678,80,2817,2.29,2.192,2.384,5.151,5.531,5.381
0,api-platform/api-platform,TypeScript,222,5974,89,2135,1.504,1.503,1.562,5.267,4.583,5.329
0,pmndrs/valtio,TypeScript,87,4041,75,266,7.246,6.657,4.557,7.779,5.671,8.221
0,kelektiv/node-cron,TypeScript,103,1845,75,4775,3.439,3.288,3.161,5.452,4.337,6.196
0,aleju/imgaug,Python,313,28618,24,1787,2.481,2.337,1.909,13.097,11.85,14.457
0,hindupuravinash/the-gan-zoo,Python,46,2198,19,533,2.553,2.446,2.055,4.825,4.298,5.835
0,jpush/aurora-imui,Java,114,11470,15,947,2.768,2.641,2.337,7.391,5.888,5.027
0,tgbot-collection/YYeTsBot,Python,37,20066,8,1659,1.726,1.661,1.511,3.61,3.47,3.209
0,auth0/java-jwt,Java,212,1451,53,3622,2.478,2.456,2.723,4.653,4.294,4.701
0,codelucas/newspaper,Python,144,18349,86,2404,2.33,2.23,1.767,4.048,3.501,2.794
0,wix/react-native-notifications,Java,170,11005,78,2715,3.866,3.683,2.86,4.559,4.652,4.556
0,ng-bootstrap/ng-bootstrap,TypeScript,774,14815,164,2995,5.656,5.335,4.628,7.528,6.201,6.055
0,rough-stuff/rough-notation,TypeScript,21,69,14,157,1.243,1.223,1.131,2.989,2.928,3.332
0,psf/requests-html,Python,74,2981,59,1863,2.253,2.151,1.695,3.618,3.03,3.823
0,davidsandberg/facenet,Python,41,2991,27,793,3.751,3.486,2.832,5.134,5.67,4.65
0,tiangolo/typer,Python,174,921,40,1527,1.363,1.334,1.208,6.308,6.278,5.945
0,jindongwang/transferlearning,Python,68,36893,36,2418,1.797,1.731,1.748,4.732,4.872,3.504
0,LeetCode-OpenSource/vscode-leetcode,TypeScript,184,11850,28,1547,2.875,2.711,2.263,14.298,9.935,15.353
0,louislam/dockge,TypeScript,87,719,61,111,2.745,2.635,2.242,4.255,3.601,3.452
0,jenkinsci/blueocean-plugin,Java,1842,31495,126,2944,7.802,7.626,7.092,11.278,10.827,11.827
0,SpecialCyCi/AndroidResideMenu,Java,8,7008,5,690,1.415,1.382,1.331,1.751,1.596,1.829
0,airbnb/native-navigation,Java,63,1679,21,476,1.488,1.488,1.577,5.729,4.993,6.642
0,pillarjs/path-to-regexp,TypeScript,61,883,28,3584,2.657,2.5,1.806,7.204,6.029,8.547
0,sahat/satellizer,TypeScript,191,6703,122,838,2.097,1.999,2.115,2.997,2.43,3.1
0,react-native-google-signin/google-signin,Java,280,23272,96,3047,5.202,4.857,3.286,7.133,6.016,5.986
0,chthai64/SwipeRevealLayout,Java,5,4450,3,651,1.018,1.019,1.013,2.243,2.159,2.171
0,jrvansuita/MaterialAbout,Java,38,5227,27,1710,4.072,3.805,3.099,3.783,3.154,4.021
0,nispok/snackbar,Java,48,3375,25,352,2.841,2.723,2.172,3.359,3.776,3.902
0,redux-observable/redux-observable,TypeScript,227,7067,94,2832,7.52,6.925,5.582,6.139,5.651,5.97
0,anvil-ui/anvil,Java,26,1159,14,1580,1.268,1.258,1.304,2.153,1.771,2.477
0,bit4woo/knife,Java,10,14519,3,1770,1.041,1.038,1.022,2.493,2.443,2.539
0,wgpsec/fofa_viewer,Java,6,17455,8,964,1.616,1.593,1.449,1.275,1.364,1.255
0,murraco/spring-boot-jwt,Java,7,53,5,1455,1.265,1.24,1.154,1.53,1.546,1.58
0,sleekbyte/tailor,Java,205,2792,5,926,1.633,1.702,1.803,8.45,5.807,9.627
0,Manisso/fsociety,Python,24,536,19,2196,2.117,2.123,2.215,3.563,3.578,3.619
0,sqlancer/sqlancer,Java,539,4929,46,1159,4.314,4.019,3.05,11.571,10.577,9.627
0,shekhargulati/strman-java,Java,11,251,7,555,1.303,1.282,1.181,3.281,3.333,3.487
0,williamyyu/SimpleRatingBar,Java,19,2373,7,1315,2.444,2.307,2.141,4.347,4.341,3.935
0,httpie/http-prompt,Python,86,736,27,2116,4.324,4.009,2.87,5.998,5.289,6.623
0,jbangdev/jbang,Java,335,5887,85,502,4.391,4.133,4.016,10.165,8.683,11.339
0,MSPaintIDE/MSPaintIDE,Java,10,2432,10,852,1.847,1.77,1.53,1.281,1.217,1.195
0,HackPlan/AndroidCharts,Java,6,863,6,1081,2.248,2.131,1.797,1.673,1.517,1.848
0,ddd-by-examples/factory,Java,16,9782,5,382,1.78,1.795,1.894,1.746,1.625,1.892
0,Instagram/ig-json-parser,Java,26,664,19,2077,2.976,3.06,2.879,3.92,3.379,4.558
0,bottlepy/bottle,Python,312,6439,179,5300,4.868,4.506,4.149,3.997,3.236,2.87
0,SpongePowered/Mixin,Java,12,8053,23,3335,3.545,3.298,3.037,1.628,1.691,1.778
0,lanpa/tensorboardX,Python,239,5779,74,2343,3.89,3.62,3.041,10.178,8.891,9.333
0,rnmods/react-native-document-picker,Java,147,2314,70,2794,5.895,5.581,4.035,3.706,3.406,3.219
0,MegatronKing/NetBare-Android,Java,6,785,4,434,1.219,1.208,1.143,1.628,1.641,1.55
0,wuapnjie/StickerView,Java,10,3020,8,703,2.025,1.928,1.572,2.252,2.264,2.44
0,revtel/react-native-nfc-manager,Java,58,2531,58,1300,3.447,3.225,2.227,8.389,7.828,8.873
0,isso-comments/isso,Python,317,3687,116,4118,10.438,9.625,7.484,10.792,8.388,9.188
0,jvm-profiling-tools/honest-profiler,Java,84,2186,23,1881,2.537,2.481,2.25,2.722,2.577,2.791
0,coleifer/huey,Python,81,3565,52,4074,2.761,2.592,2.183,3.255,3.067,2.999
0,RyanFehr/HackerRank,Java,141,894,9,670,1.361,1.364,1.34,9.423,9.683,10.406
0,proyecto26/react-native-inappbrowser,Java,45,2807,39,769,2.859,2.693,2.366,3.0,2.649,3.049
0,harjot-oberai/Croller,Java,6,3890,8,829,1.53,1.518,1.484,1.822,1.781,1.827
0,gregmalcolm/python_koans,Python,117,576,77,4789,4.136,3.873,3.658,3.914,3.414,3.516
0,bignerdranch/expandable-recycler-view,Java,68,30548,11,697,1.808,1.814,1.958,4.617,4.143,5.141
0,qubvel/segmentation_models,Python,43,1863,13,681,2.009,1.91,1.54,2.211,2.023,2.287
0,michalchudziak/react-native-geolocation,Java,88,1820,86,1793,7.725,7.302,5.523,2.445,2.318,2.267
0,mpatric/mp3agic,Java,39,532,20,4214,3.788,3.594,3.23,4.805,4.699,4.551
0,devunwired/recyclerview-playground,Java,6,266,4,408,1.331,1.299,1.238,2.436,2.178,2.404
0,gothinkster/spring-boot-realworld-example-app,Java,15,759,13,1744,1.792,1.728,1.444,3.078,3.084,2.964
0,Pkmmte/CircularImageView,Java,6,1931,4,189,1.719,1.669,1.584,1.196,1.104,1.297
0,roncoo/roncoo-education,Java,8,19630,11,1394,2.246,2.195,1.98,1.844,1.413,2.275
0,zalando/intellij-swagger,Java,188,14084,27,2851,1.671,1.672,1.803,5.636,4.974,4.955
0,alexxiyang/shiro-redis,Java,17,844,12,3863,1.979,1.89,1.727,3.719,3.384,3.696
0,thyrlian/AwesomeValidation,Java,11,1568,8,2695,1.093,1.088,1.087,2.095,1.841,2.313
0,influxdata/influxdb-java,Java,383,1639,83,3560,4.438,4.221,3.33,6.238,5.885,6.583
0,davidohayon669/react-native-youtube,Java,58,1770,43,2940,3.571,3.384,2.521,4.632,4.039,4.081
0,cesardeazevedo/react-native-bottom-sheet-behavior,Java,7,3721,6,693,1.87,1.786,1.48,1.383,1.26,1.407
0,SpongePowered/SpongeForge,Java,46,8021,63,769,6.814,6.517,6.126,3.251,3.256,3.652
0,Mojang/DataFixerUpper,Java,41,552,15,2037,2.722,2.643,2.27,2.362,2.091,2.528
0,hhatto/autopep8,Python,163,3932,48,4237,2.863,2.757,2.402,13.265,10.663,13.257
